"","route","count"
"1151","110020->170950",4
"1152","110020->171320",2
"1153","110020->171610",3
"1154","110020->172100",8
"1155","110020->172120",1
"1156","110020->210005",12
"1157","110020->210060",1
"1158","110020->210095",1
"1159","110020->210100",10
"1160","110020->210120",1
"1161","110020->210150",1
"1162","110020->210160",5
"1163","110020->210170",6
"1164","110020->210207",1
"1165","110020->210232",2
"1166","110020->210300",11
"1167","110020->210320",5
"1168","110020->210325",2
"1169","110020->210330",4
"1170","110020->210360",1
"1171","110020->210370",2
"1172","110020->210375",1
"1173","110020->210405",5
"1174","110020->210440",3
"1175","110020->210465",1
"1176","110020->210467",1
"1177","110020->210480",1
"1178","110020->210530",7
"1179","110020->210535",1
"1180","110020->210540",1
"1181","110020->210542",6
"1182","110020->210550",1
"1183","110020->210560",1
"1184","110020->210570",1
"1185","110020->210600",1
"1186","110020->210630",1
"1187","110020->210675",1
"1188","110020->210750",1
"1189","110020->210780",5
"1190","110020->210790",1
"1191","110020->210810",1
"1192","110020->210820",1
"1193","110020->210840",1
"1194","110020->210860",36
"1195","110020->210880",3
"1196","110020->210900",2
"1197","110020->210910",4
"1198","110020->210923",2
"1199","110020->210927",4
"1200","110020->210945",2
"1201","110020->210960",11
"1202","110020->210975",1
"1203","110020->210980",3
"1204","110020->210990",4
"1205","110020->211000",5
"1206","110020->211020",1
"1207","110020->211030",1
"1208","110020->211070",1
"1209","110020->211090",4
"1210","110020->211102",1
"1211","110020->211130",19
"1212","110020->211150",1
"1213","110020->211170",1
"1214","110020->211220",2
"1215","110020->211227",7
"1216","110020->211230",2
"1217","110020->211240",2
"1218","110020->211250",2
"1219","110020->211280",3
"1220","110020->211290",19
"1221","110020->211300",5
"1222","110020->220025",1
"1223","110020->220027",1
"1224","110020->220120",3
"1225","110020->220196",1
"1226","110020->220213",3
"1227","110020->220370",1
"1228","110020->220390",7
"1229","110020->220420",1
"1230","110020->220430",1
"1231","110020->220545",3
"1232","110020->220580",5
"1233","110020->220585",1
"1234","110020->220669",1
"1235","110020->220770",2
"1236","110020->220840",12
"1237","110020->221100",25
"1238","110020->221120",2
"1239","110020->221130",1
"1240","110020->221160",1
"1241","110020->230240",1
"1242","110020->230250",2
"1243","110020->230350",1
"1244","110020->230400",1
"1245","110020->230410",2
"1246","110020->230440",62
